entry_date,exit_date,entry,exit,direction,return
2024-12-03,2024-12-06,39958.59765625,39801.43359375,SELL,0.003933172626627893
2024-12-05,2024-12-06,40115.7578125,39801.43359375,BUY,-0.005
2024-12-06,2024-12-10,39801.43359375,40096.11328125,BUY,0.005
2024-12-09,2024-12-11,39919.3046875,40135.40234375,BUY,0.005
2024-12-10,2024-12-12,40096.11328125,40616.71484375,BUY,0.005
2024-12-11,2024-12-12,40135.40234375,40616.71484375,BUY,0.005
2024-12-12,2024-12-13,40616.71484375,40204.1640625,BUY,-0.005
2024-12-13,2024-12-18,40204.1640625,39870.19140625,BUY,-0.005
2024-12-16,2024-12-18,40184.515625,39870.19140625,BUY,-0.005
2024-12-17,2024-12-18,40135.40234375,39870.19140625,BUY,-0.005
2024-12-18,2024-12-19,39870.19140625,39536.22265625,BUY,-0.005
2024-12-19,2024-12-23,39536.22265625,39938.94921875,BUY,0.005
2024-12-20,2024-12-23,39447.81640625,39938.94921875,BUY,0.005
2024-12-24,2024-12-26,39830.90234375,40272.921875,SELL,-0.005
2024-12-25,2024-12-26,39880.015625,40272.921875,SELL,-0.005
2024-12-27,2024-12-30,41068.55859375,40734.5859375,BUY,-0.005
2024-12-30,2025-01-06,40734.5859375,40105.9375,BUY,-0.005
2025-01-06,2025-01-07,40105.9375,40852.45703125,BUY,0.005
2025-01-07,2025-01-09,40852.45703125,40430.08203125,BUY,-0.005
2025-01-08,2025-01-09,40803.34375,40430.08203125,BUY,-0.005
2025-01-09,2025-01-10,40430.08203125,40027.35546875,BUY,-0.005
2025-01-10,2025-01-14,40027.35546875,39241.54296875,BUY,-0.005
2025-01-14,2025-01-17,39241.54296875,39251.36328125,BUY,0.0002502529655324819
2025-01-15,2025-01-20,39212.07421875,39644.26953125,SELL,-0.005
2025-01-16,2025-01-20,39339.76953125,39644.26953125,SELL,-0.005
2025-01-17,2025-01-20,39251.36328125,39644.26953125,SELL,-0.005
2025-01-20,2025-01-22,39644.26953125,40390.79296875,SELL,-0.005
2025-01-21,2025-01-22,39791.609375,40390.79296875,SELL,-0.005
2025-01-22,2025-01-23,40390.79296875,40744.41015625,SELL,-0.005
