entry_date,exit_date,entry,exit,direction,return
2024-12-03,2024-12-06,39947.701171875,39834.734375,SELL,0.002827867275490029
2024-12-05,2024-12-06,40134.3515625,39834.734375,BUY,-0.005
2024-12-06,2024-12-10,39834.734375,40124.529296875,BUY,0.005
2024-12-09,2024-12-11,39932.966796875,40158.91015625,BUY,0.005
2024-12-10,2024-12-12,40124.529296875,40664.830078125,BUY,0.005
2024-12-11,2024-12-12,40158.91015625,40664.830078125,BUY,0.005
2024-12-12,2024-12-13,40664.830078125,40252.240234375,BUY,-0.005
2024-12-13,2024-12-18,40252.240234375,39888.76171875,BUY,-0.005
2024-12-16,2024-12-18,40208.029296875,39888.76171875,BUY,-0.005
2024-12-17,2024-12-18,40149.0859375,39888.76171875,BUY,-0.005
2024-12-18,2024-12-19,39888.76171875,39574.41015625,BUY,-0.005
2024-12-19,2024-12-23,39574.41015625,39952.615234375,BUY,0.005
2024-12-20,2024-12-23,39481.083984375,39952.615234375,BUY,0.005
2024-12-24,2024-12-26,39824.90625,40281.705078125,SELL,-0.005
2024-12-25,2024-12-26,39878.9375,40281.705078125,SELL,-0.005
2024-12-27,2024-12-30,41116.716796875,40763.064453125,BUY,-0.005
2024-12-30,2025-01-06,40763.064453125,40129.44140625,BUY,-0.005
2025-01-06,2025-01-07,40129.44140625,40885.859375,BUY,0.005
2025-01-07,2025-01-09,40885.859375,40463.443359375,BUY,-0.005
2025-01-08,2025-01-09,40826.916015625,40463.443359375,BUY,-0.005
2025-01-09,2025-01-10,40463.443359375,40050.853515625,BUY,-0.005
2025-01-10,2025-01-14,40050.853515625,39274.7890625,BUY,-0.005
2025-01-14,2025-01-17,39274.7890625,39269.875,BUY,-0.00012512002272450142
2025-01-15,2025-01-20,39255.142578125,39672.642578125,SELL,-0.005
2025-01-16,2025-01-20,39377.9375,39672.642578125,SELL,-0.005
2025-01-17,2025-01-20,39269.875,39672.642578125,SELL,-0.005
2025-01-20,2025-01-22,39672.642578125,40433.974609375,SELL,-0.005
2025-01-21,2025-01-22,39824.91015625,40433.974609375,SELL,-0.005
2025-01-22,2025-01-23,40433.974609375,40797.44921875,SELL,-0.005
2025-01-23,2025-01-27,40797.44921875,40399.591796875,SELL,0.005
2025-01-24,2025-01-27,40772.888671875,40399.591796875,BUY,-0.005
2025-01-27,2025-01-28,40399.591796875,39834.73046875,BUY,-0.005
2025-01-28,2025-01-29,39834.73046875,40208.02734375,BUY,0.005
2025-01-29,2025-01-31,40208.02734375,40438.88671875,BUY,0.005
2025-01-30,2025-02-03,40296.439453125,39338.64453125,BUY,-0.005
2025-01-31,2025-02-03,40438.88671875,39338.64453125,BUY,-0.005
2025-02-03,2025-02-04,39338.64453125,39584.232421875,SELL,-0.005
2025-02-04,2025-02-06,39584.232421875,39898.5859375,SELL,-0.005
2025-02-05,2025-02-06,39638.259765625,39898.5859375,SELL,-0.005
2025-02-06,2025-02-07,39898.5859375,39628.4375,SELL,0.005
2025-02-07,2025-02-13,39628.4375,40316.09375,SELL,-0.005
2025-02-10,2025-02-13,39623.525390625,40316.09375,SELL,-0.005
2025-02-12,2025-02-13,39805.265625,40316.09375,SELL,-0.005
2025-02-13,2025-02-14,40316.09375,39982.08984375,SELL,0.005
2025-02-14,2025-02-19,39982.08984375,40011.55859375,SELL,-0.0007370487664642812
2025-02-17,2025-02-20,40011.5625,39476.171875,SELL,0.005
2025-02-20,2025-02-25,39476.171875,39078.314453125,SELL,0.005
2025-02-21,2025-02-25,39623.52734375,39078.314453125,SELL,0.005
2025-02-25,2025-02-28,39078.314453125,37987.896484375,SELL,0.005
2025-02-26,2025-02-28,38930.962890625,37987.896484375,SELL,0.005
2025-02-27,2025-02-28,39093.05078125,37987.896484375,SELL,0.005
2025-02-28,2025-03-03,37987.896484375,38631.33984375,SELL,-0.005
2025-03-03,2025-03-04,38631.33984375,38120.513671875,SELL,0.005
2025-03-04,2025-03-06,38120.513671875,38542.927734375,SELL,-0.005
2025-03-05,2025-03-06,38208.923828125,38542.927734375,SELL,-0.005
2025-03-06,2025-03-07,38542.927734375,37688.275390625,SELL,0.005
2025-03-07,2025-03-12,37688.275390625,37609.685546875,SELL,0.002085259750822913
2025-03-10,2025-03-11,37850.36328125,37585.126953125,SELL,0.005
2025-03-11,2025-03-14,37585.126953125,37884.74609375,SELL,-0.005
2025-03-12,2025-03-14,37609.685546875,37884.74609375,SELL,-0.005
2025-03-13,2025-03-14,37575.302734375,37884.74609375,SELL,-0.005
2025-03-14,2025-03-17,37884.74609375,38204.015625,SELL,-0.005
2025-03-17,2025-03-18,38204.015625,38650.986328125,SELL,-0.005
2025-03-18,2025-03-24,38650.986328125,38429.955078125,SELL,0.005
2025-03-19,2025-03-25,38582.22265625,38606.783203125,SELL,-0.0006365767751076258
2025-03-24,2025-03-26,38429.955078125,38857.28515625,BUY,0.005
2025-03-25,2025-03-26,38606.783203125,38857.28515625,BUY,0.005
2025-03-26,2025-03-27,38857.28515625,38592.05078125,BUY,-0.005
2025-03-27,2025-03-28,38592.05078125,38174.54296875,BUY,-0.005
2025-03-28,2025-03-31,38174.54296875,36696.087890625,BUY,-0.005
2025-04-01,2025-04-03,36666.615234375,35821.791015625,SELL,0.005
2025-04-02,2025-04-03,36784.50390625,35821.791015625,SELL,0.005
2025-04-03,2025-04-04,35821.791015625,34819.779296875,SELL,0.005
2025-04-04,2025-04-07,34819.779296875,32128.115234375,SELL,0.005
2025-04-07,2025-04-08,32128.115234375,33979.865234375,SELL,-0.005
2025-04-08,2025-04-09,33979.865234375,32933.6240234375,SELL,0.005
2025-04-09,2025-04-10,32933.6240234375,35571.29296875,SELL,-0.005
2025-04-10,2025-04-11,35571.29296875,34618.396484375,SELL,0.005
2025-04-11,2025-04-14,34618.396484375,35026.078125,SELL,-0.005
2025-04-14,2025-04-15,35026.078125,35296.224609375,SELL,-0.005
2025-04-15,2025-04-16,35296.224609375,34903.283203125,SELL,0.005
2025-04-16,2025-04-17,34903.283203125,35374.81640625,SELL,-0.005
2025-04-17,2025-04-18,35374.81640625,35762.845703125,SELL,-0.005
2025-04-18,2025-04-21,35762.845703125,35291.314453125,SELL,0.005
2025-04-21,2025-04-23,35291.314453125,35890.552734375,SELL,-0.005
2025-04-22,2025-04-23,35237.283203125,35890.552734375,SELL,-0.005
2025-04-24,2025-04-25,36037.91015625,36774.6796875,BUY,0.005
2025-04-25,2025-04-30,36774.6796875,37084.123046875,BUY,0.005
2025-04-28,2025-04-30,36863.08984375,37084.123046875,BUY,0.005
2025-04-30,2025-05-01,37084.123046875,37501.623046875,BUY,0.005
2025-05-01,2025-05-02,37501.623046875,37904.39453125,BUY,0.005
2025-05-02,2025-05-08,37904.39453125,38125.42578125,BUY,0.005
2025-05-07,2025-05-08,37870.013671875,38125.42578125,BUY,0.005
2025-05-08,2025-05-09,38125.42578125,38538.013671875,BUY,0.005
2025-05-09,2025-05-12,38538.013671875,38763.95703125,BUY,0.005
2025-05-12,2025-05-13,38763.95703125,39328.81640625,BUY,0.005
2025-05-13,2025-05-15,39328.81640625,38896.576171875,BUY,-0.005
2025-05-14,2025-05-15,39235.490234375,38896.576171875,BUY,-0.005
2025-05-15,2025-05-19,38896.576171875,38572.396484375,BUY,-0.005
