text,date,combined_score,signal,entry,TP,SL,entry_source,lot_size,risk_amount,auto_tp_applied,auto_tp_reason
US NFP (Non-Farm Payrolls) - Strong Expected [DE40],2025-11-03 22:30:00,0.9,BUY,19500.0,21000.0,18750.0,DE40,6.0,50000.0,False,
US NFP (Non-Farm Payrolls) - Strong Expected [SP500],2025-11-03 22:30:00,0.9,BUY,5900.0,7400.0,5150.0,SP500,6.0,50000.0,False,
US NFP (Non-Farm Payrolls) - Strong Expected [MSFT],2025-11-03 22:30:00,0.9,BUY,420.0,1920.0,-330.0,MSFT,0.0,0.0,False,
US NFP (Non-Farm Payrolls) - Strong Expected [AAPL],2025-11-03 22:30:00,0.9,BUY,225.0,1725.0,-525.0,AAPL,0.0,0.0,False,
Fed Interest Rate Decision - Hawkish Stance [DE40],2025-11-07 03:00:00,0.85,BUY,19550.0,21050.0,18800.0,DE40,6.0,50000.0,False,
Fed Interest Rate Decision - Hawkish Stance [SP500],2025-11-07 03:00:00,0.85,BUY,5920.0,7420.0,5170.0,SP500,6.0,50000.0,False,
Fed Interest Rate Decision - Hawkish Stance [MSFT],2025-11-07 03:00:00,0.85,BUY,421.0,1921.0,-329.0,MSFT,0.0,0.0,False,
Fed Interest Rate Decision - Hawkish Stance [AAPL],2025-11-07 03:00:00,0.85,BUY,226.0,1726.0,-524.0,AAPL,0.0,0.0,False,
Japan GDP Report - Better than Expected [DE40],2025-11-14 08:50:00,0.82,BUY,19520.0,20220.0,19170.0,DE40,4.0,50000.0,False,
Japan GDP Report - Better than Expected [SP500],2025-11-14 08:50:00,0.82,BUY,5910.0,6610.0,5560.0,SP500,4.0,50000.0,False,
Japan GDP Report - Better than Expected [MSFT],2025-11-14 08:50:00,0.82,BUY,420.0,1120.0,70.0,MSFT,0.0,0.0,False,
Japan GDP Report - Better than Expected [AAPL],2025-11-14 08:50:00,0.82,BUY,226.0,926.0,-124.0,AAPL,0.0,0.0,False,
